code,location,registered,envelopes,valid,-,ANO 2011,Blok proti islam.-Obran.domova,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
554499,Aš,9766,4289,4254,-,1707,16,3,369,94,20,276,15,53,10,4,13,169,10,43,155,515,153,373,219,37
554502,Dolní Žandov,943,532,528,-,188,0,4,93,10,0,31,5,10,0,2,4,21,1,6,3,56,16,52,23,3
554511,Drmoul,769,486,481,-,181,0,3,31,22,0,49,3,3,0,0,1,42,1,6,2,51,11,51,22,2
554529,Františkovy Lázně,4700,2905,2886,-,967,5,5,205,75,22,340,16,27,5,11,15,122,19,29,36,328,142,337,173,7
554545,Hazlov,1239,638,626,-,234,1,0,77,26,2,37,0,10,2,0,1,25,0,12,6,100,10,53,29,1
554553,Hranice,1677,706,698,-,289,1,2,79,3,4,41,1,18,2,2,2,12,2,7,16,75,14,67,58,3
554481,Cheb,23954,12225,12153,-,4189,23,44,1197,291,23,934,70,70,9,16,31,935,29,125,195,1489,380,1141,905,57
538795,Krásná,474,264,262,-,138,2,0,20,1,4,5,1,2,0,0,0,14,0,1,6,30,7,20,11,0
554596,Křižovatka,210,118,118,-,55,0,0,19,2,0,3,0,2,0,0,0,9,0,0,0,7,1,2,17,1
554600,Lázně Kynžvart,1228,613,608,-,210,0,1,71,14,0,49,1,3,0,1,2,19,2,4,9,77,13,81,46,5
554618,Libá,592,301,297,-,112,1,0,28,2,2,27,0,2,0,0,2,16,1,2,0,37,2,39,22,2
554626,Lipová,586,299,297,-,115,0,4,23,4,1,22,1,1,1,0,1,18,1,8,3,45,10,22,15,2
554634,Luby,1809,852,843,-,346,10,2,63,34,1,49,1,15,2,3,2,34,2,4,10,98,18,69,78,2
554642,Mariánské Lázně,10572,5720,5675,-,1741,5,6,391,198,8,686,37,30,8,6,11,177,14,65,58,538,255,1046,369,26
554651,Milhostov,244,82,82,-,54,0,0,4,0,0,2,1,0,0,1,0,4,0,0,0,5,0,3,8,0
538906,Milíkov,223,141,141,-,35,0,2,14,6,0,17,0,1,0,0,1,14,1,5,2,19,1,15,7,1
554677,Mnichov,335,137,135,-,33,0,0,25,8,1,4,2,7,0,0,1,4,1,1,0,17,3,23,5,0
554693,Nebanice,278,162,159,-,50,0,0,28,1,0,6,0,4,0,1,1,19,0,4,2,20,4,7,12,0
554707,Nový Kostel,410,221,221,-,80,1,1,15,17,0,8,0,2,0,0,0,2,8,0,2,28,7,12,38,0
539554,Odrava,185,99,99,-,34,0,0,7,0,0,10,0,1,0,0,1,11,1,2,3,12,2,8,6,1
538922,Okrouhlá,199,108,107,-,37,0,0,12,2,1,7,1,2,0,0,1,6,0,7,1,15,0,7,8,0
539473,Ovesné Kladruby,97,52,52,-,12,0,0,3,2,0,7,0,1,1,0,1,0,0,0,3,1,1,18,1,1
554740,Plesná,1565,723,719,-,281,6,0,73,4,0,34,1,9,0,1,0,18,4,5,5,85,44,45,101,3
538817,Podhradí,164,79,79,-,33,0,0,7,4,0,8,0,0,1,0,1,2,2,3,1,10,1,3,2,1
538868,Pomezí nad Ohří,206,132,131,-,42,0,0,16,3,0,8,3,0,0,0,0,17,0,1,0,11,7,16,7,0
577979,Poustka,122,80,79,-,23,0,0,11,2,1,6,0,0,0,0,0,9,1,1,1,12,0,6,5,1
539538,Prameny,92,59,57,-,18,0,1,1,1,1,3,0,1,0,0,1,2,0,0,0,14,1,12,1,0
554812,Skalná,1511,777,770,-,325,2,3,56,18,0,59,1,5,0,1,1,24,0,4,7,107,13,60,83,1
539112,Stará Voda,389,196,196,-,60,0,0,33,4,0,7,1,1,0,1,1,6,1,2,4,37,6,21,11,0
555631,Teplá,2365,1058,1046,-,340,0,3,170,50,7,80,4,8,0,1,3,22,2,12,8,128,22,102,80,4
554855,Trstěnice,301,165,165,-,60,0,0,26,2,0,11,1,1,0,0,0,11,1,0,1,25,1,20,5,0
539023,Třebeň,326,206,203,-,79,2,1,22,7,0,15,0,1,0,1,0,13,1,1,2,29,2,22,5,0
554880,Tři Sekery,748,393,384,-,129,0,0,25,14,0,47,2,2,0,1,2,4,0,4,0,38,6,91,17,2
539619,Tuřany,110,73,73,-,33,0,1,5,0,0,9,0,0,0,1,0,7,0,1,0,5,1,5,5,0
539481,Valy,384,241,240,-,100,0,0,9,8,0,21,3,2,0,0,0,11,1,2,1,29,10,32,9,2
539279,Velká Hleďsebe,1816,1039,1027,-,331,0,2,78,28,2,130,6,6,1,2,2,44,1,11,6,100,38,154,78,7
578002,Velký Luh,127,67,66,-,20,0,0,11,2,0,5,0,1,0,1,1,11,0,0,1,7,0,4,2,0
539376,Vlkovice,104,72,72,-,24,1,0,8,6,0,1,1,3,0,1,1,2,0,0,0,6,1,10,5,2
539074,Vojtanov,168,102,102,-,50,0,0,13,1,0,3,1,2,0,0,0,4,1,1,0,16,2,6,2,0
539431,Zádub-Závišín,274,165,164,-,49,0,1,10,13,0,27,1,0,0,0,0,9,0,2,0,20,7,20,5,0
